PATIENT_ID,BED_ID,BED_TYPE,Reffered by,NAME OF PATIENT,AGE,GENDER,CONTACT.No,ADDRESS,ID_type,ID_number,TIME,DATE
OJ3599,NONE,OPD,Dr. Anurima,RAVI,18,MALE,9182736405,22|Hemgiri Path|South Sarania|Ulubari,AADHAR CARD,'980958000000,22:14:20,10/11/2021
LF4148,1001,GENERAL BED,Dr. Sohum,KUNALJEET,21,MALE,9283746510,Subham Apartment|Gandhi Basti|Silpukhuri|781003,PAN CARD,'BNZPM2501F,22:14:20,10/11/2021
VR2595,2001,PAYING BED,Dr. Subhankar,SASANKA,50,MALE,9088263541,By lane-10|Lachit Nagar|South Sarania,VOTER ID CARD,'YCVA2658915,22:14:20,10/11/2021
QQ2530,3001,CABIN BED,Dr. Ayangshu,PRIYA JAISHWAL,25,FEMALE,9685732657,34|Near N.E. Guest House|South Sarania|Ulubari,DRIVING LICENSE,'AS1928374658914,22:14:20,10/11/2021
SI7385,4001,ICU BED,Dr.Anurima,AKANGSHA,16,FEMALE,9817345642,44|South Sarania|Ulubari|781007,AADHAR CARD,'980912348765,22:47:11,11/10/2021
TZ7584,5001,COVID BED,Dr.Uttam,RITAM,18,MALE,9128374658,26|Birubari,PAN CARD,'ASERF2341F,22:51:16,11/10/2021
CE6816,1002,GENERAL BED,Dr. Uttam ,MAMI,17,FEMALE,9182736451,15|Gandhi Basti|Silpukhuri|781003,VOTER ID CARD,'YVBA1903657,23:04:23,11/10/2021
CF2629,5002,COVID BED,Dr. Anurima,PARTHA,88,MALE,9283746518,39|Uzanbazar|781004,DRIVING LICENSE,'AS1928365728761,18:46:10,15/10/2021
CD4620,4002,ICU BED,Dr. Sumit,ROHAN,25,MALE,8765341546,34|Kharguli|781004,AADHAR CARD,'908765456523,22:56:43,15/10/2021
TD7908,1003,GENERAL BED,Dr. K Pathak,DIPIKA,49,FEMALE,9813458746,34|Lachitnagar|Guwahati,AADHAR CARD,'981234657865,23:04:29,15/10/2021
LO7664,1001,GENERAL BED,Dr. Anand,SUSMITA,27,FEMALE,9816628736,25|Lalmati|781003,VOTER ID CARD,'VFR1987256,23:13:47,15/10/2021
FL1768,1004,GENERAL BED,Dr.Himanta,SASANKA DIP GOGOI,18,MALE,9356287196,23|Rajbari road|Maligao,VOTER ID CARD,'YCV1892673,10:12:17,6/11/2021
UI8331,5004,COVID BED,Dr.Himanta,PIYA,22,FEMALE,9812653763,45|Boga road|Adabari,VOTER ID CARD,'BNM1956378,10:18:20,6/11/2021
KU1956,1005,GENERAL BED,Dr.Anurima,SUMITA,44,FEMALE,9182736418,26|Ulubari South Sarania,AADHAR CARD,'921387461093,13:26:41,6/11/2021
VD2252,2002,PAYING BED,Dr.Anumitra,VISHAL ROY,45,MALE,9812873465,22|Hemgir Path|Ulubari|South Sarania,AADHAR CARD,'981254368791,17:13:03,9/11/2021
PM7600,2003,PAYING BED,Dr.Sumit,BIDYUT SAIKIA,82,MALE,9123874567,22|Gandhi Basti|Silpukhuri,AADHAR CARD,'9012768934,21:25:00,10/11/2021
UX9194,2004,PAYING BED,Dr.Partha,RAJESH SARMA,23,MALE,9812653476,16|South Sarania|Ulubari,AADHAR CARD,'129856743687,21:37:14,10/11/2021
CN8921,1001,GENERAL BED,Dr.Abhishek,ANUMITRA KALITA,43,FEMALE,8934657823,27|Adabari Guwahati,VOTER ID CARD,'VBN1287903,22:02:24,10/11/2021
